# WHO growth reference table, vendored for PoshanNetra AI (Section 6.4).
# source_url: https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/weight-for-length-height/expanded-tables/wfh-girls-zscore-expanded-tables.xlsx
# retrieved: 2026-08-28
# sha256(source_xlsx): fca340d5f04aa1556ac410b176b65b290e1b9ff467fc854a97f9b54ad94c9b8a
# key column 'Height' is in cms; rows: 551
# sd* columns are WHO's OWN published cut-offs, kept only so the test
# suite can prove our LMS implementation reproduces them exactly.
key,l,m,s,sd3neg,sd2neg,sd2pos,sd3pos
77.8,-0.3833,9.7957,0.08959,7.585,8.237,11.794,13.008
77.9,-0.3833,9.8147,0.08957,7.6,8.253,11.816,13.033
78,-0.3833,9.8338,0.08956,7.615,8.27,11.839,13.058
78.1,-0.3833,9.853,0.08955,7.63,8.286,11.862,13.083
78.2,-0.3833,9.8722,0.08953,7.645,8.302,11.884,13.107
78.3,-0.3833,9.8915,0.08952,7.66,8.319,11.907,13.132
78.4,-0.3833,9.9109,0.08951,7.676,8.335,11.93,13.158
78.5,-0.3833,9.9303,0.0895,7.691,8.352,11.954,13.183
78.6,-0.3833,9.9499,0.08948,7.706,8.368,11.977,13.208
78.7,-0.3833,9.9695,0.08947,7.722,8.385,12,13.234
78.8,-0.3833,9.9892,0.08946,7.737,8.402,12.023,13.26
78.9,-0.3833,10.009,0.08945,7.753,8.419,12.047,13.285
79,-0.3833,10.0289,0.08943,7.769,8.436,12.07,13.311
79.1,-0.3833,10.0489,0.08942,7.784,8.453,12.094,13.337
79.2,-0.3833,10.069,0.08941,7.8,8.47,12.118,13.363
79.3,-0.3833,10.0891,0.0894,7.816,8.487,12.142,13.389
79.4,-0.3833,10.1094,0.08939,7.832,8.504,12.166,13.416
79.5,-0.3833,10.1298,0.08937,7.848,8.522,12.19,13.442
79.6,-0.3833,10.1503,0.08936,7.864,8.539,12.215,13.469
79.7,-0.3833,10.1709,0.08935,7.88,8.556,12.239,13.496
79.8,-0.3833,10.1916,0.08934,7.897,8.574,12.264,13.523
79.9,-0.3833,10.2123,0.08933,7.913,8.592,12.289,13.55
80,-0.3833,10.2332,0.08932,7.929,8.609,12.313,13.577
80.1,-0.3833,10.2542,0.0893,7.946,8.627,12.338,13.604
80.2,-0.3833,10.2753,0.08929,7.963,8.645,12.363,13.632
80.3,-0.3833,10.2965,0.08928,7.979,8.663,12.388,13.659
80.4,-0.3833,10.3178,0.08927,7.996,8.681,12.414,13.687
80.5,-0.3833,10.3393,0.08926,8.013,8.7,12.439,13.715
80.6,-0.3833,10.3608,0.08925,8.03,8.718,12.465,13.743
80.7,-0.3833,10.3824,0.08924,8.047,8.736,12.491,13.771
80.8,-0.3833,10.4041,0.08923,8.064,8.755,12.517,13.8
80.9,-0.3833,10.4258,0.08922,8.081,8.773,12.542,13.828
81,-0.3833,10.4477,0.08921,8.098,8.792,12.569,13.857
81.1,-0.3833,10.4697,0.0892,8.115,8.81,12.595,13.885
81.2,-0.3833,10.4918,0.08919,8.133,8.829,12.621,13.914
81.3,-0.3833,10.514,0.08918,8.15,8.848,12.647,13.943
81.4,-0.3833,10.5363,0.08917,8.167,8.867,12.674,13.972
81.5,-0.3833,10.5586,0.08916,8.185,8.886,12.701,14.001
81.6,-0.3833,10.5811,0.08915,8.203,8.905,12.727,14.031
81.7,-0.3833,10.6037,0.08915,8.22,8.924,12.755,14.061
81.8,-0.3833,10.6263,0.08914,8.238,8.943,12.781,14.09
81.9,-0.3833,10.6491,0.08913,8.256,8.962,12.809,14.12
82,-0.3833,10.6719,0.08912,8.274,8.982,12.836,14.15
82.1,-0.3833,10.6948,0.08911,8.292,9.001,12.863,14.18
82.2,-0.3833,10.7178,0.0891,8.31,9.021,12.89,14.21
82.3,-0.3833,10.741,0.0891,8.328,9.04,12.918,14.24
82.4,-0.3833,10.7641,0.08909,8.346,9.06,12.946,14.27
82.5,-0.3833,10.7874,0.08908,8.364,9.08,12.974,14.301
82.6,-0.3833,10.8108,0.08907,8.383,9.1,13.001,14.331
82.7,-0.3833,10.8343,0.08907,8.401,9.119,13.03,14.363
82.8,-0.3833,10.8578,0.08906,8.419,9.139,13.058,14.393
82.9,-0.3833,10.8814,0.08905,8.438,9.159,13.086,14.424
83,-0.3833,10.9051,0.08905,8.456,9.179,13.114,14.455
83.1,-0.3833,10.9289,0.08904,8.475,9.199,13.143,14.486
