# Indian Food Composition Tables 2017 (ICMR-National Institute of Nutrition).
# Vendored for PoshanNetra AI (master prompt, Section 4).
# source_package: @ifct2017/compositions@2.0.9 (npm, MIT)
# source_tarball: https://registry.npmjs.org/@ifct2017/compositions/-/compositions-2.0.9.tgz
# sha256(tarball): 623e31d4ea355cc829429c2d8e776fbdb5eba953ea713bad2b01c962d3e2cfd5
# retrieved: 2026-08-28
# upstream_publication: https://www.nin.res.in/ebooks/IFCT2017.pdf
# ATTRIBUTION REQUIRED: any surface that shows these numbers must credit
#   'Indian Food Composition Tables 2017, ICMR-National Institute of Nutrition'.
# Energy is in KILOJOULES, as IFCT publishes it. kcal conversion happens in
#   app/nutrition/ifct.py and is unit-tested. Edible oils and fats are
#   published with energy_kj = 0; energy for those is derived from macros.
# *_e columns are IFCT's own national variability across six sampled regions.
# Values are per 100 g of RAW edible portion -- not cooked. See
#   app/nutrition/recipes.py for how cooked dishes are converted.
code,name,scientific_name,local_names,food_group,tags,energy_kj,energy_kj_e,protein_g,protein_g_e,carbohydrate_g,carbohydrate_g_e,fat_g,fat_g_e,fibre_g,water_g,hindi_name
D020,Brinjal-11,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,vegetarian eggetarian fishetarian veg,105,16,1.43,0.2,3.53,1.01,0.31,0.04,4.12,89.93,Baingan
D021,Brinjal-12,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,vegetarian eggetarian fishetarian veg,93,0,1.6,0,2.73,0,0.27,0,3.89,90.94,Baingan
D022,Brinjal-13,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,vegetarian eggetarian fishetarian veg,124,0,1.49,0,4.51,0,0.31,0,3.92,89.14,Baingan
D023,Brinjal-14,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,vegetarian eggetarian fishetarian veg,106,9,1.56,0.19,3.27,0.39,0.35,0.03,3.87,90.31,Baingan
D024,Brinjal-15,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,vegetarian eggetarian fishetarian veg,114,6,1.58,0.27,3.96,0.19,0.29,0.03,3.99,89.44,Baingan
D025,Brinjal-16,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,vegetarian eggetarian fishetarian veg,103,0,1.26,0,3.46,0,0.34,0,3.74,90.39,Baingan
D026,Brinjal-17,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,vegetarian eggetarian fishetarian veg,91,0,1.18,0,2.89,0,0.36,0,3.94,90.83,Baingan
D027,Brinjal-18,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,vegetarian eggetarian fishetarian veg,116,18,1.47,0.15,4.1,0.88,0.33,0.06,4.38,89.07,Baingan
D028,Brinjal-19,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,vegetarian eggetarian fishetarian veg,100,8,1.26,0.06,3.39,0.36,0.31,0.02,3.97,90.41,Baingan
D029,Brinjal-20,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,vegetarian eggetarian fishetarian veg,99,10,1.44,0.21,3.15,0.6,0.34,0.04,3.73,90.65,Baingan
D030,Brinjal-21,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,vegetarian eggetarian fishetarian veg,113,0,1.36,0,3.93,0,0.35,0,3.85,89.83,Baingan
D031,Brinjal - all varieties,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,vegetarian eggetarian fishetarian veg,106,15,1.48,0.22,3.52,0.8,0.32,0.04,3.98,90,Baingan
D032,Broad beans,Vicia faba,"A. Urahi; B. Makhon shim; E. Fava bean, Faba bean, Field bean, Bell bean, Tic bean; G. Fafda papdi; H. Bakla; Kan. Chkaooaradavare; Kash. Thool Haymbe; Kh. Ri majai; Mal. Amarakka; Mar. Ghewda; O. Simba; Tam. Avarai; Tel. Pedda chikkudu.",Other Vegetables,vegetarian eggetarian fishetarian veg,123,4,3.85,0.13,2.11,0.11,0.15,0.01,8.63,84.2,Bakla
D033,"Capsicum, green",Capsicum annuum,A. Kashmiri jalakia; B. Lanka (bilathi); G. Bhuler marcha; H. Shimla mirch; Kan. Donnmena-sinakayi; Kash. Shimla marchwangan; Kh. Sohmynken jhur jyrngam; Mal. Undamulagu; Mar. Bhoplimirchi; O. Shimla Lanka; P. Shimle-di-mirchi; Tam. Koda milagai; Tel. Shimla mirchi; U. Shimla mirchi.,Other Vegetables,vegetarian eggetarian fishetarian veg,68,6,1.11,0.11,1.84,0.32,0.34,0.03,2.06,93.89,Shimla mirch
D034,"Capsicum, red",Capsicum annuum,A. Kashmiri jalakia; B. Lanka (bilathi); G. Bhuler marcha; H. Shimla mirch; Kan.  Donnmena- sinakayi; Kash.  Shimla marchwangan; Kh. Sohmynken jhur jyrngam; Mal. Undamulagu; Mar. Bhoplimirchi; O. Shimla Lanka; P. Shimle-di-mirchi; Tam. Koda milagai; Tel. Shimla mirchi; U. Shimla mirchi.,Other Vegetables,vegetarian eggetarian fishetarian veg,83,24,1.47,0.36,2.14,1.06,0.47,0.05,2.19,92.99,Shimla mirch
D035,"Capsicum, yellow",Capsicum annuum,A. Kashmiri jalakia; B. Lanka (bilathi); G. Bhuler marcha; H. Shimla mirch; Kan.  Donnmena-sinakayi; Kash. Shimla marchwangan; Kh. Sohmynken jhur stem; Mal. Undamulagu; Mar. Bhoplimirchi; O. Shimla Lanka; P. Shimle-di-mirchi; Tam. Koda milagai; Tel. Shimla mirchi; U. Shimla mirchi.,Other Vegetables,vegetarian eggetarian fishetarian veg,78,4,1.35,0.35,1.95,0.16,0.41,0.02,2.19,93.38,Shimla mirch
D036,Cauliflower,Brassica oleracea,A. Phul kobi; B. Phul kopi; G. Fulawar; H. Phul gobi; Kan. Hukosu; Kash. Phoolgobi; Kh. Phul kubi; Mal. Cauliflower; M. Kobithamchetmai; Mar. Phul gobi; N. Kauli; O. Phul Kobi; P. Phul gobi; S. Gojihvaa; Tam. Pookosu; Tel. Go puvvu; U. Phul gobi.,Other Vegetables,vegetarian eggetarian fishetarian veg,96,5,2.15,0.15,2.03,0.22,0.44,0.03,3.71,90.76,Phul gobi
D037,Celery stalk,Apium graveolens,B. Randhuni; H. Ajmud; Kh. Dieng seleri; G. Celery daandi; Tam. Sivarikkeerai.,Other Vegetables,vegetarian eggetarian fishetarian veg,69,6,0.98,0.13,2.33,0.23,0.24,0.04,2.09,92.87,Ajmud
D038,Cho-cho-marrow,Sechium edule,"A. Squash; E. Cho cho marrow, Chayote; H. Cho-cho-marrow; Kan. Cho-cho-marrow; M. Dasakusa; Mal. Cho-cho-marrow; Mar. Cho cho sara; O. Phuti kakudi; Kh. Biskot; Tam. Chow-chow.",Other Vegetables,vegetarian eggetarian fishetarian veg,79,2,0.66,0.07,3.47,0.18,0.15,0.03,1.55,93.78,Cho-cho-marrow
D039,Cluster beans,Cyamopsis tetragonobola,A. Mah; B. Jhar sim; E. Guar; G. Govar; H. Gaur-ki-phalli; Kan. Gori koyi; Kash. Hyambi; Mal. Kothavara; Mar. Govari; O. Guanra chhuin; P. Guarae-di-faliya; Tam. Kothavaranga; Tel. Goruchikkudu; U. Gavar ki palli.,Other Vegetables,vegetarian eggetarian fishetarian veg,168,15,3.55,0.38,4.91,0.58,0.37,0.04,4.83,84.65,Gaur-ki-phalli
D040,"Colocasia, stem, black",Colocasia antiquorum,A. kosu thari; B. Kochur loti; H. Arwi-ki-dandi; Kan. Kesu danthu; Kh. Kawang iong; Mal. Chembin thandu; M. Paan Makhok; Mar. Alu-che-dath; O. Sarunada; P. Arbi de dande; Tam. Seppanthandu; Tel. Chama kada; U. Arwi ke kade.,Other Vegetables,vegetarian eggetarian fishetarian veg,100,0,0.76,0,3.83,0,0.34,0,3.01,91.15,Arwi-ki-dandi
D041,"Colocasia, stem, green",Colocasia antiquorum,A. Kosu thari; B. Kochur loti; H. Arwi-ki-dandi; Kan. Kesu danthu; Kh. Ka wang jyrngam; Mal. Chembin thandu; M. Paan Makhok; Mar. Alu-che-dath; O. Sarunada; P. Arbi de dande; Tam. Seppanthandu; Tel. Chama kada; U. Arwi ke kade.,Other Vegetables,vegetarian eggetarian fishetarian veg,81,7,0.91,0.16,2.86,0.34,0.22,0.02,2.33,92.67,Arwi-ki-dandi
D042,"Corn, Baby",Zea mays,Kash. Makai; Kh. Riewhadem lung; M. Chujaak; P. Shoti shalli.,Other Vegetables,vegetarian eggetarian fishetarian veg,306,18,2.69,0.23,11.66,1.4,1.33,0.23,6.09,75.44,
D043,"Cucumber, green, elongate",Cucumis sativus,"A. Tiyoh; B. Sosha; G. Kakdi; H. Kheera, Kachumbar; Kan. Southe kayi; Kash. Laar; Kh. Sohkhia; Mal. Vellarikka; M. Thabi; Mar. Kakadi; N. Kakro; O. Kakudi; P. Khira; S. Patolah; Tam. Vellarikkai; Tel. Dosa kaya; U. Kheera.",Other Vegetables,vegetarian eggetarian fishetarian veg,82,8,0.71,0.11,3.48,0.47,0.16,0.04,2.14,92.96,"Kheera, Kachumbar"
D044,"Cucumber, green, short",Cucumis sativus,"A. Tiyoh; B. Sosha; G. Kakdi; H. Kheera, Kachumbar; Kan. Southe kayi; Kash. Laar; Kh. Sohkhia; M. Thabi; Mal. Vellarikka; Mar. Kakadi; N. Kakro; O. Kakudi; P. Khira; S. Patolah; Tam. Vellarikkai; Tel. Dosa kaya; U. Kheera.",Other Vegetables,vegetarian eggetarian fishetarian veg,73,10,0.83,0.14,2.82,0.49,0.18,0.05,2.13,93.52,"Kheera, Kachumbar"
D045,"Cucumber, orange, round",Cucumis sativus,A. Tiyoh; B. Sosha; G. Kakdi; H. Kakadi; Kan. Southe kayi; Kash. Laar; Kh. Sohkhia pyllon; Mal. Vellarikka; Mar. Kakadi; N. Kakro; O. Kakudi; P. Khira; S. Patolah; Tam. Vellarikkai; Tel. Dosa kaya; U. Kheera.,Other Vegetables,vegetarian eggetarian fishetarian veg,82,0,0.98,0,3.01,0,0.24,0,2.46,92.8,Kakadi
D046,Drumstick,Moringa oleifera,"A. Sajina; B. Sajna danta; E. Horseradish, Benzoil; G. Saragavo; H. Saijan-ki-phalli; Kan. Nugga kayi; Kh. Dieng sajana; Mal. Muringakkai; M. Sajana; Mar. Shevanga sheng; O. Sajana chhuin; P. Suhanjana di phalliya; Tam. Murungakkai; Tel. Mulakaada; U. Sujne ki palli.",Other Vegetables,vegetarian eggetarian fishetarian veg,123,11,2.62,0.22,3.76,0.7,0.12,0.01,6.83,85.39,Saijan-ki-phalli
D047,"Field beans, tender, broad",Vicia faba,"A. Urohi; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Hyambi; Kh. Ri majai; Mal. Avar; Mar. Papta; O. Baragudi; Tam. Vidaiavarai; Tel. Chikkudu ginjalu; U. Sem ki palli.",Other Vegetables,vegetarian eggetarian fishetarian veg,129,0,3.06,0,2.75,0,0.64,0,5.64,86.98,Sem
D048,"Field beans, tender, lean",Vicia faba,"A.Urohi; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Hyambi; Kh. Ri majai; Mal. Avar; Mar. Papta; O. Baragudi; Tel. Chikkudu ginjalu; Tam. Vidaiavarai; U. Sem ki palli.",Other Vegetables,vegetarian eggetarian fishetarian veg,140,15,3.71,0.62,2.85,0.32,0.6,0.02,6.19,85.57,Sem
D049,"French beans, country",Phaseolus vulgaris,A. French bean; E. Green beans; G. Fansi; H. Bakla; Kan. Huruli kayi; Kash. Hyambi; Kh. Presbin phyrngop; Mal. Beans; Mar. Pharasebee; N. Ghiu Simi; O. Beans; P. Fras bean; Tam. Vidaiavarai; Tel. Sannachikkudu; U. Beans.,Other Vegetables,vegetarian eggetarian fishetarian veg,102,8,2.49,0.21,2.68,0.48,0.26,0.02,4.38,89.14,Bakla
D050,"French beans, hybrid",Phaseolus vulgaris,A. French bean; E. Green beans; G. Fansi; H. Bakla; Kan. Huruli kayi; Kash. Hyambi; Kh. Presbin; Mal. Beans; Mar. Pharasebee; N. Ghiu Simi; O. Beans; P. Fras bean; Tam. Vidaiavarai; Tel. Sannachikkudu; U. Beans.,Other Vegetables,vegetarian eggetarian fishetarian veg,93,0,2.12,0,2.63,0,0.19,0,4.18,90.11,Bakla
D051,"Jack fruit, raw",Artocarpus heterophyllus,A. Kothal; B. Kanthal; E. Jackfruit; G. Phanas; H. Kathal; Kash. Bindu; Kan. Halasu; Kh. Soh phan; M. Theibong; Mal. Chakka; Mar. Phanas; N. Katahar; O. Panasa; P. Kathal ki beej; S. Panasa; Tam. Palapazham; Tel. Panasa; U. Kathahal.,Other Vegetables,vegetarian eggetarian fishetarian veg,110,15,1.98,0.16,3.48,0.7,0.35,0.05,7.69,85.52,Kathal
D052,"Jack fruit, seed, mature",Artocarpus heterophyllus,A. Kothal guti; B. Kanthal; E. Jackfruit; G. Phanas; H. Kathal; Kan. Halasu; Kash. Bindu; Kh. Shyieng soh phan; Mal. Chakka; M. Theibong Maru; Mar. Phanas; N. Katahar; P. Kathal; S. Panasa; Tam. Palakkottai; Tel. Panasa; U. Kathahal.,Other Vegetables,vegetarian eggetarian fishetarian veg,322,10,5.79,0.14,11.81,0.74,0.44,0.03,8.63,72.32,Kathal
D053,Knol - Khol,Brassica oleracea,A. Oolkobi; B. Olkopi; E. Wild cabbage; G. Nol-kol; H. Kohl-rabi; Kan. Noolkol; Kash. Monjh haak; Kh. Phan kubi; Mal. Noolkol; M. Kobi Maru Kabi; Mar. Nol-kol; N. Gyathkopi; O. Ulkobi; P. Ganth gobi; Tam. Knoolkol; Tel. Noolkol.,Other Vegetables,vegetarian eggetarian fishetarian veg,67,4,1.58,0.24,1.39,0.21,0.35,0.02,2.75,93.14,Kohl-rabi
D054,"Kovai, big",Coccinia cordifolia,"A. Kunduli; B. Telakucha; E. Ivy gourd, Scarlet gourd; G. Ghole gluru; H. Konduri, Kowai; Kan. Tondekayi; Kh. Jhur thliem; Mal. Kova kai; Mar. Tondale; O. Kunduru; Tam. Kova kai; Tel. Donda kaya; U. Tindli.",Other Vegetables,vegetarian eggetarian fishetarian veg,73,10,1.39,0.23,2.01,0.54,0.24,0.08,3,92.78,"Konduri, Kowai"
D055,"Kovai, small",Coccinia cordifolia,"A. Kunduli; B. Telakucha; E. Ivy gourd, Scarlet gourd; G. Ghole gluru; H. Konduri, Kowai; Kan. Tondekayi; Kh. Jhur thliem; Mal. Kova kai; Mar. Tondale; O. Kunduru; Tam. Kova kai; Tel. Donda kaya; U. Tindli.",Other Vegetables,vegetarian eggetarian fishetarian veg,80,0,1.22,0,2.41,0,0.24,0,3.25,92.4,"Konduri, Kowai"
D056,Ladies finger,Abelmoschus esculentus,"A. Bhendi; B. Dherosh; E. Okra, Okro, Ochro; G. Bhinda; H. Bhindi; Kan. Bende; Kash. Bindi; Kh. bindi; Mal. Vendakkai; M. Belandri; Mar. Bhendi; N. Ramtoriya; O. Bhendi; P. Bhindi; S. Bhindikaa; Tam. Vendaikkai; Tel. Bendakaya; U. Bhendi.",Other Vegetables,vegetarian eggetarian fishetarian veg,115,5,2.08,0.37,3.62,0.26,0.22,0.03,4.08,89.06,Bhindi
D057,"Mango, green, raw",Mangifera indica,A. Keasa aam; B. Aam (kancha); G. Ambo; H. Katcha Aam; Kan. Mavinakayi; Kash. Kach Aamb; Kh. Soh pieng im; Mal. Manga; M. Heinou Ashangba; Mar. Amba; O. Ambu (kacha); P. Kaccha aam; Tam. Mangai; Tel. Mamidikaya; U. Kaccha aam.,Other Vegetables,vegetarian eggetarian fishetarian veg,205,8,0.69,0.09,10.59,0.37,0.08,0.02,3.01,85.14,Katcha Aam
D058,"Onion, stalk",Allium cepa,"A. Piyaj paat; B. Piyaz kali; E. Spring onion, Onion greens; G. Dunglina dakkadi (Onion dakkadi); H. Pyaz; Kan. Erulli soppu; Kash. Pichiganda; Kh. Sla piat; Mal. Ulli thandu; M. Tilhou mana; Mar. Pati; N. Chhayapi ko Saag; O. Piaja sandha; P. Hare pyaaz; Tam. Vengaya thaal; Tel. Ulli kadalu; U. Hari pyaaz.",Other Vegetables,vegetarian eggetarian fishetarian veg,107,12,2.07,0.21,2.99,0.5,0.26,0.02,5.21,88.35,Pyaz
D059,"Papaya, raw",Carica papaya,"A. Kesa omita; B. Pempe (Kacha); E. Papaw, Pawpaw; G. Papayi; H. Katcha pepita; Kan. Parangi; Kh. Soh kymphor im; Kash. Papita; Kon. Dudde; Mal. Omakaya; M. Awathabi Ashangba; Mar. Papaya; O. Amrutabhanda; P. Katcha Pepita; Tam. Pappalikkaai; Tel. Boppayi kaya; U. Papaya.",Other Vegetables,vegetarian eggetarian fishetarian veg,100,7,0.5,0.06,4.4,0.37,0.23,0.03,2.28,92.04,Katcha pepita
D060,Parwar,Trichosanthes dioica,A. Potol; B. Potol; E. Pointed gourd; G. Padval; H. Parwal; Kan. Mara thonde; Kh. Patol rit; Mal. Kovakkai; Mar. Parwar; O. Potala; P. Parwal; Tel. Kommu potla; U. Parwal.,Other Vegetables,vegetarian eggetarian fishetarian veg,101,5,1.4,0.1,3.54,0.32,0.3,0.04,2.61,91.57,Parwal
D061,"Peas, fresh",Pisum sativum,"A. Matar mah; B. Motor shuti; G., Mar. Vatana; Kash. Kaza; O. Matara; H. Matar; Kan., Tel. Batani; Kash. Matar; Kh. Mator; M. Hawai tharaak; P. Hare matar; Mal., Tam. Paccha pattani.",Other Vegetables,vegetarian eggetarian fishetarian veg,340,19,7.25,1.03,11.88,0.67,0.13,0.02,6.32,73.37,Matar
D062,"Plantain, flower",Musa x paradisiaca,A. Koldil; B. Mocha; E. Banana flower; G. Kel phool; H. Kele-ka phool; Kan. Bale motho; Kh. Pashor kait; Mal. Vazhapoo; M. Lafu Tharo; Mar. Kel phool; O. Kadali bhanda; P. Kele-da-phool; Tam. Vazhapoo; Tel. Arati puvvu; U. Kela ka phool.,Other Vegetables,vegetarian eggetarian fishetarian veg,89,8,1.47,0.12,2.15,0.43,0.63,0.02,5.25,89.14,Kele-ka phool
D063,"Plantain, green",Musa x paradisiaca,A. Kaskol/Purakol; B. Kela (kanch); E. Cooking banana; G. Kela; H. Kele (hara); Kan. Bale kayi; Kash. Kham kael; Kh. Kait im; Mal. Vazhakkai; M. Laphoi Ashangba; M. Laphoi Ashangba; Mar. Kel (hara); N. Bungo; O. Bantala kadali; P. Kela (hara); S. Rambhaa ; Tam. Vazhakkaai; Tel. Arati kayi; U. Kaccha kela.,Other Vegetables,vegetarian eggetarian fishetarian veg,334,6,1.18,0.2,17.58,0.35,0.23,0.02,3.6,76.15,Kele (hara)
D064,"Plantain, stem",Musa x paradisiaca,A. Posola; B. Thor; E. Banana stem; G. Kelanu thed; H. Kele-ka-tana; Kan. Bele Dindu; Kh. Nud kait; Mal. Unnipindi; M. Lafu; Mar. Kelicha khunt; O. Kadali manja; P. Kele da tana; Tam. Vazhai thandu; Tel. Arati doota.,Other Vegetables,vegetarian eggetarian fishetarian veg,165,15,0.35,0.05,8.64,0.93,0.16,0.07,2.12,87.53,Kele-ka-tana
D065,"Pumpkin, green, cylindrical",Cucurbita maxima,A. Rongalao; B. Kumro; G. Kohlu; H. Kaddu; Kan. Kumbala kash; Kash. Paarimal; Kh. Pathaw; Mal. Mathan; M. Mairen; Mar. Lal bhopla; N. Farsi; O. Kakharu; P. Kaddu; S. Kummaandah; Tam. Parangikkai; Tel. Gummadi kaya; U. Kaddu.,Other Vegetables,vegetarian eggetarian fishetarian veg,103,0,0.87,0,4.22,0,0.18,0,2.53,91.73,Kaddu
D066,"Pumpkin, orange, round",Cucurbita maxima,A. Rongalao; B. Kumro; G. Kohlu; H. Kaddu; Kan. Kumbala kash; Kash. Paarimal; Kh. Pathaw saw; Mal. Mathan; M. Mairen; Mar. Lal bhopla; N. Farsi; O. Kakharu; P. Kaddu; S. Kummaandah; Tam. Parangikkai; Tel. Gummadi; U. Kaddu.,Other Vegetables,vegetarian eggetarian fishetarian veg,97,8,0.84,0.21,4,0.64,0.16,0.02,2.56,91.85,Kaddu
D067,"Red gram, tender, fresh",Cajanus cajan,E. Pigeon pea; H. Arhar ki fali; Tam. Thuvarai; Tel. Pacchi Kandulu; U. Hara tuvar.,Other Vegetables,vegetarian eggetarian fishetarian veg,520,0,8.09,0,19.46,0,0.92,0,5.9,64,Arhar ki fali
D068,Ridge gourd,Luffa acutangula,"A. Jikaa; B. Jhinge; E. Luffa, Loofah; G. Turia; H. Torai; Kan. Heeraikai; Kash. Turrel ; Kh. Jingka; Kon. Gurdudde; Mal. Peechinga; M. Sebot; Mar. Dodka; O. Janhi; P. Kali tori; Tam. Peerkankai; Tel. Beera kaya; U. Turai.",Other Vegetables,vegetarian eggetarian fishetarian veg,55,7,0.91,0.08,1.72,0.46,0.14,0.01,1.81,94.99,Torai
D069,"Ridge gourd, smooth skin",Luffa acutangula,"A. Bhol; B. Jhinge; E. Luffa, Loofah; G. Turia; H. Torai; Kan. Heeraikai; Kash. Turrel; Kh. Jingka; Kon. Gurdudde; Mal. Peechinga; M. Sebot; Mar. Dodka; O. Janchi; P.  Kali tori; Tam. Peerkankai; Tel. Beera kaya; U. Turai.",Other Vegetables,vegetarian eggetarian fishetarian veg,64,8,0.98,0.13,2.24,0.41,0.13,0.01,1.85,94.27,Torai
D070,"Snake gourd, long, pale green",Trichosanthes anguina,A. Dhunduli; B. Chichinga; G. Pandola; H. Chachinda; Kan. Podavala; Kh. Jingka; Mal. Padavalanga; Mar. Padwal; N. Chichindo; O. Chachinda; P. Galartori; S. Cicinndda; Tam. Pudalangai; Tel. Potla kaya; U. Chichinda.,Other Vegetables,vegetarian eggetarian fishetarian veg,52,4,0.98,0.33,1.27,0.15,0.25,0.01,2.27,94.81,Chachinda
D071,"Snake gourd, long, dark green",Trichosanthes anguina,A. Dhunduli; B. Chichinga; G. Pandola; H. Chachinda; Kan. Podavala; Kh. Jingka; Mal. Padavalanga; Mar. Padwal; N. Chichindo; O. Chachinda; P. Galartori; S. Cicinndda; Tam. Pudalangai; Tel. Potla kaya; U. Chichinda.,Other Vegetables,vegetarian eggetarian fishetarian veg,50,0,0.89,0,1.23,0,0.25,0,2.27,94.92,Chachinda
D072,"Snake gourd, short",Trichosanthes anguina,A. Dhunduli; B. Chichinga; G. Pandola; H. Chachinda; Kan. Podavala; Kh. Jingka; Mal. Padavalanga; Mar. Padwal; N. Chichindo; O. Chachinda; P. Galartori; S. Cicinndda; Tam. Pudalangai; Tel. Potla kaya; U. Chichinda.,Other Vegetables,vegetarian eggetarian fishetarian veg,61,0,0.54,0,2.15,0,0.26,0,2.29,94.35,Chachinda
D073,"Tinda, tender",Praecitrullus fistulosus,"E. Indian squash, Round melon, Indian round gourd, Apple gourd, Indian baby pumpkin; G. Tadabuch; H. Tinda; Kan. Thondekkai; Kash. Tinda; Mar. Dhemase; N. Tinda; P. Tinda; U. Tinde.",Other Vegetables,vegetarian eggetarian fishetarian veg,58,6,1.02,0.04,1.9,0.37,0.17,0.01,2,94.41,Tinda
D074,"Tomato, green",Lycopersicon esculentum,A. Kesa bilahi; B. Kacha Tomato; H. Tamator ; Kan. Goore Hannu; Kash. Rowagun; Kh. Soh saw jyrngam; Mal. Takkali; M. Khamen Ashinba; Mar. Hara velvangi; O. Bilati Baigan; P. Kaccha tamator; Tam. Thakkali kai; Tel. Ramamulagakaya; U. Kaccha tamatar.,Other Vegetables,vegetarian eggetarian fishetarian veg,87,7,1.12,0.08,3.18,0.4,0.27,0.07,1.62,93.21,Tamator
D075,"Tomato, ripe, hybrid",Lycopersicon esculentum,A. Poka bilahi; B. Tomato; G. Tameta; H. Tamator; Kan. Goore Hannu; Kash. Rowangun; Kh. Soh saw dkhar; Mal. Takkali pazham; M. Khamen ashinba; Mar. Velvangi; O. Bilati baigan; P. Pakke tamator; S. Rakta phalam; N. Gholobheda; Tam. Takkali pazham; Tel. Ramamulagakaya; U. Pakka tamatar.,Other Vegetables,vegetarian eggetarian fishetarian veg,79,6,0.76,0.03,3.2,0.3,0.25,0.02,1.58,93.79,Tamator
