# Indian Food Composition Tables 2017 (ICMR-National Institute of Nutrition).
# Vendored for PoshanNetra AI (master prompt, Section 4).
# source_package: @ifct2017/compositions@2.0.9 (npm, MIT)
# source_tarball: https://registry.npmjs.org/@ifct2017/compositions/-/compositions-2.0.9.tgz
# sha256(tarball): 623e31d4ea355cc829429c2d8e776fbdb5eba953ea713bad2b01c962d3e2cfd5
# retrieved: 2026-08-28
# upstream_publication: https://www.nin.res.in/ebooks/IFCT2017.pdf
# ATTRIBUTION REQUIRED: any surface that shows these numbers must credit
#   'Indian Food Composition Tables 2017, ICMR-National Institute of Nutrition'.
# Energy is in KILOJOULES, as IFCT publishes it. kcal conversion happens in
#   app/nutrition/ifct.py and is unit-tested. Edible oils and fats are
#   published with energy_kj = 0; energy for those is derived from macros.
# *_e columns are IFCT's own national variability across six sampled regions.
# Values are per 100 g of RAW edible portion -- not cooked. See
#   app/nutrition/recipes.py for how cooked dishes are converted.
code,name,scientific_name,local_names,food_group,tags,energy_kj,energy_kj_e,protein_g,protein_g_e,carbohydrate_g,carbohydrate_g_e,fat_g,fat_g_e,fibre_g,water_g,hindi_name
B014,"Lentil whole, brown",Lens culinaris,A. Gota masur mah; B. Mosur; G. Masoor (Kathai); H. Masur dal; Kan. Masur bele; Kash. Masoor; Mal. Masur parippu; M. Hawai Masuri; Mar. Masur dal; N. Musuroo; O. Masura; P. Saboot masari dal; S. Masura; Tam. Mysore paruppu; Tel. Misur pappu; U. Masur dal.,Grain Legumes,vegetarian eggetarian fishetarian veg,1251,23,22.49,0.58,48.47,1.12,0.64,0.02,16.82,9.2,Masur dal
B015,"Lentil whole, yellowish",Lens culinaris,H. Masur dal; Tel. Misur pappu; Tam. Mysore paruppu; Kan. Masur bele; Mal. Masur parippu; Mar. Masur dal; O. Masura; B. Mosur; G. Masoor rakhoda; P. Saboot masari dal; U. Masur dal; A. Mosur (Dail); Kash. Masoor; S. Masura Musuroo; M. Hawai Masuri; Kh. U dai saw.,Grain Legumes,vegetarian eggetarian fishetarian veg,1246,0,22.87,0,47.91,0,0.61,0,16.66,9.75,Masur dal
B016,Moth bean,Vigna aconitifolia,"E. Mat bean, Turkish gram, Dew bean; H. Motha; Tam. Narippayir; Kan. Matki Kal; Mar. Matki; B. Kheri; G. Math; P. Bhiopnitam; P. Moth dal; Kh. Rymbai.",Grain Legumes,vegetarian eggetarian fishetarian veg,1291,16,19.75,0.38,52.09,0.96,1.76,0.09,15.12,8.14,Motha
B017,"Peas, dry",Pisum sativum,"A. Gota motor; B. Matar; G. Sukha vatana; H. Sukhi Matar; Kan. Batani; Kash. Kaza; Kh. Shana mator; Mal. Pattani; Tam. Pattani; O. Matara; P. Sukhe hare matar dal; Kan., Tel. Batani; Kash. Kara; M. Hawai mangal.",Grain Legumes,vegetarian eggetarian fishetarian veg,1269,13,20.43,0.79,48.93,0.45,1.89,0.08,17.01,9.33,Sukhi Matar
B018,"Rajmah, black",Phaseolus vulgaris,"A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (Kadi); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma heh; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Kale rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma.",Grain Legumes,vegetarian eggetarian fishetarian veg,1247,0,19.01,0,49.59,0,1.62,0,17.74,8.69,Rajmah
B019,"Rajmah, brown",Phaseolus vulgaris,"A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (Gulabi); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma lieh; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Bhoore rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma.",Grain Legumes,vegetarian eggetarian fishetarian veg,1245,12,19.5,0.84,48.83,0.59,1.68,0.07,16.95,9.68,Rajmah
B020,"Rajmah, red",Phaseolus vulgaris,"A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (lal); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma rit; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Lal rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma.",Grain Legumes,vegetarian eggetarian fishetarian veg,1252,14,19.91,1.44,48.61,0.65,1.77,0.04,16.57,9.87,Rajmah
B021,"Red gram, dal",Cajanus cajan,"A. Rohor dail; B., Kash., H. Arhar dal; E. Pigeon pea; G. Tuver ni daad; Kan. Thugare bele; Kash. Masur; Kh. Dai shana; Mal. Tuvaru parippu; M. Mairongbi; Mar. Turdal; N. Rahar ko dal; O. Harada dal; P. Arhar dal; S. Aaddhakii; Tel. Kandi pappu; Tam. Tuvaramparuppu; U. Tuvar ki dal.",Grain Legumes,vegetarian eggetarian fishetarian veg,1384,10,21.7,0.5,55.23,0.83,1.56,0.03,9.06,9.2,
B022,"Red gram, whole",Cajanus cajan,A. Gota rohor; E. Pigeon pea; G. Tuver; H. Arhar sabud; Kash. Masur; Kh. Rymbai ja; Mal. Tuvaru parippu; M. Mairongbi; Mar. Turdal; O. Harada; P. Arhar sabut dal; Tam. Tuvarai; Tel. Kandulu; U. Tuvar.,Grain Legumes,vegetarian eggetarian fishetarian veg,1146,10,20.47,0.72,42.48,0.77,1.38,0.08,22.84,9.3,Arhar sabud
B023,Ricebean,Vigna umbellata,B. Galmoong; E. Ricebean; H. Meth; Kh. Rymbai ja; Mal. Kattuzhunnu; M. Chakwai ; N. Shiltong.,Grain Legumes,vegetarian eggetarian fishetarian veg,1265,0,19.97,0,51.26,0,0.74,0,13.37,11.12,Meth
